rgb(3,6,28)	Blackish-Green-Blue
rgb(3,7,46)	Marine Blue
rgb(4,5,36)	Berlin Blue
rgb(198,209,234)	Pale Mazarine Blue
rgb(199,204,234)	Pale Amparo Blue
rgb(195,198,224)	Pallid Violet-Blue
rgb(122,152,229)	Mazarine Blue
rgb(130,150,227)	Light Amparo Blue
rgb(153,161,219)	Pale Violet-Blue
rgb(62,83,228)	Salvia Blue
rgb(83,89,231)	Amparo Blue
rgb(103,109,216)	Light Violet-Blue
rgb(10,26,199)	Spectrum Blue
rgb(20,26,206)	Bradley's Blue
rgb(32,26,192)	Phenyl Blue
rgb(8,14,175)	Ultramarine Blue
rgb(9,8,175)	Lyons Blue
rgb(29,23,150)	Smalt Blue
rgb(5,8,116)	Rood's Blue
rgb(8,6,111)	Helvetia Blue
rgb(20,16,97)	Hay's Blue
rgb(6,5,48)	Prussian Blue
rgb(4,5,62)	Cyanine Blue
rgb(21,19,47)	Azurite Blue
rgb(202,200,236)	Pallid Blue-Violet
rgb(204,197,239)	Pallid Bluish Violet
rgb(207,197,235)	Pallid Violet
rgb(157,158,227)	Pale Blue-Violet
rgb(163,156,225)	Pale Bluish Violet
rgb(159,141,216)	Pale Violet
rgb(99,92,221)	Light Blue-Violet
rgb(103,86,221)	Light Bluish Violet
rgb(114,89,217)	Light Violet
rgb(25,6,185)	Blue-Violet
rgb(30,5,180)	Bluish Violet
rgb(33,7,129)	Spectrum Violet
rgb(16,8,116)	Deep Blue-Violet
rgb(28,10,135)	Violet Ultramarine
rgb(21,9,105)	Royal Purple
rgb(7,4,59)	Hyacinth Blue
rgb(6,4,47)	Roslyn Blue
rgb(16,12,59)	Dark Violet
rgb(4,3,8)	Dark Aniline Blue
rgb(4,2,13)	Dark Bluish Violet
rgb(5,3,11)	Blackish Violet
rgb(219,177,238)	Pale Hortense Violet
rgb(230,160,240)	Pale Amparo Purple
rgb(238,183,236)	Phlox Pink
rgb(180,58,209)	Light Hortense Violet
rgb(205,101,219)	Light Amparo Purple
rgb(217,101,225)	Light Phlox Purple
rgb(134,36,194)	Hortense violet
rgb(158,44,200)	Amparo Purple
rgb(186,25,163)	Phlox Purple
rgb(60,3,143)	Amethyst Violet
rgb(104,4,133)	Violet-Purple
rgb(177,5,146)	Purple. (True)
rgb(35,3,67)	Hyacinth Violet
rgb(42,3,37)	Pansy Violet
rgb(59,4,21)	Rood's Violet
rgb(13,3,23)	Mulberry Purple
rgb(19,2,18)	Cotinga PUrple
rgb(36,4,16)	Raisin PUrple
rgb(7,2,8)	Fluorite Violet
rgb(7,2,8)	Prune Purple
rgb(11,6,7)	Blackish Purple
rgb(236,155,226)	Mallow Pink
rgb(237,181,228)	Pale Amaranth Pink
rgb(236,191,216)	Rose Pink
rgb(225,89,204)	Light Mallow Purple
rgb(232,102,202)	Amaranth Pink 
rgb(232,111,172)	Deep Rose Pink
rgb(211,39,165)	Mallow Purple 
rgb(225,36,135)	Tyrian Pink
rgb(231,33,109)	Rose Color
rgb(197,9,109)	Rhodamine Purple
rgb(203,14,38)	Tyrian Rose
rgb(199,14,17)	Rose Red
rgb(86,9,23)	Aster Purple
rgb(105,8,14)	Amaranth Purple
rgb(159,12,14)	Pomegranate Purple
rgb(24,2,5)	Dahlia Purple 
rgb(49,2,7)	Pansy Purple 
rgb(38,3,5)	Bordeaux
rgb(7,3,4)	Blackish Red-Purple 
rgb(8,2,3)	Violet Carmine
rgb(17,3,3)	Burnt Lake
rgb(230,185,187)	Venetian Pink 
rgb(230,186,180)	Chatenay Pink
rgb(223,188,174)	Flesh-Pink	!!
rgb(222,106,124)	Alazine Pink
rgb(225,102,104)	Jasper Pink
rgb(218,117,94)	Coral Pink
rgb(211,34,40)	Old Rose
rgb(224,38,39)	Light Jasper Red
rgb(227,72,39)	Light Coral Red
rgb(184,15,23)	Eugenia Red
rgb(198,16,13)	Jasper Red
rgb(214,38,19)	Coral Red
rgb(98,7,8)	Acajou Red
rgb(120,11,10)	Pompeian Red
rgb(170,26,18)	Dragon's-blood Red
rgb(44,4,6)	Vandyke Red
rgb(50,4,5)	Madder Brown
rgb(79,16,14)	Brick Red
rgb(12,3,1)	Hay's Maroon
rgb(13,3,2)	Diamine Brown
rgb(25,15,11)	Hessian Brown
rgb(235,201,181)	Pale Flesh Color
rgb(237,211,189)	Pale Salmon Color
rgb(228,209,181)	Seashell Pink
rgb(235,150,103)	Flesh Color
rgb(230,154,95)	Salmon Color
rgb(233,189,131)	Salmon-Buff
rgb(228,66,34)	Carrot Red
rgb(234,110,48)	Flesh-Ocher
rgb(226,125,47)	Apricot Buff
rgb(223,48,13)	Carnelian Red
rgb(222,65,19)	Rufous
rgb(230,89,18)	Apricot Orange
rgb(144,10,5)	Vinaceous-Rufous
rgb(160,23,7)	Ferruginous
rgb(160,43,13)	Cinnamon-Rufous
rgb(62,5,4)	Hay's Russet
rgb(78,6,4)	Kaiser Brown
rgb(115,30,11)	Hazel
rgb(15,4,3)	Liver Brown
rgb(26,4,6)	Carob Brown
rgb(32,16,13)	Chestnut-Brown
rgb(240,217,178)	Pale Ochraceous-Salmon
rgb(240,217,172)	Pale Ochraceous-Buff
rgb(241,227,184)	Light Buff
rgb(228,171,109)	Light Ochraceous-Salmon
rgb(238,196,109)	Light Ochraceous-Buff
rgb(231,200,99)	Warm Buff
rgb(237,139,47)	Ochraceous-Salmon	
rgb(229,158,40)	Ochraceous-Buff
rgb(235,186,41)	Antimony Yellow
rgb(217,87,7)	Zinc Orange
rgb(228,110,7)	Ochraceous-Orange
rgb(212,126,8)	Yellow Ocher
rgb(155,44,6)	Tawny
rgb(176,68,6)	Ochraceous-Tawny
rgb(159,77,7)	Buckthown Brown
rgb(84,16,6)	Russet
rgb(73,22,6)	Cinnamon-Brown
rgb(72,31,7)	Dresden Brown
rgb(34,6,5)	Mars Brown
rgb(30,8,5)	Prout's Brown
rgb(24,10,5)	Mummy Brown
rgb(235,222,145)	Cream Color
rgb(234,228,148)	Massicot Yellow
rgb(238,235,162)	Napthalene Yellow
rgb(226,209,90)	Naples Yellow
rgb(237,230,116)	Straw Yellow
rgb(234,234,110)	Barium Yellow
rgb(230,201,35)	Mustard Yellow
rgb(228,215,37)	Amber Yellow
rgb(231,229,57)	Citron Yellow
rgb(223,180,7)	Primuline Yellow
rgb(221,198,9)	Wax Yellow
rgb(228,218,17)	Strontian Yellow
rgb(141,100,8)	Old Gold
rgb(111,89,9)	Olive Lake
rgb(124,121,11)	Yellowish Citrine
rgb(84,61,8)	Buffy Citrine
rgb(77,71,10)	Dull Citrine
rgb(73,78,9)	Serpentine Green
rgb(46,33,6)	Scacardo's Olive
rgb(29,27,5)	Olive-Citrine
rgb(26,29,6)	Roman Green
rgb(229,230,172)	Pale Chalcedony Yellow
rgb(227,232,168)	Pale Dull Green-Yellow
rgb(224,233,178)	Pale Lumiere Green
rgb(228,231,135)	Light Chalcedony Yellow
rgb(216,227,123)	Light Dull Green-Yellow
rgb(209,229,134)	Light Lumiere Green
rgb(219,225,72)	Chalcedony Yellow
rgb(208,222,68)	Clear Dull Green-Yellow
rgb(191,220,75)	Lumiere Green
rgb(201,208,42)	Bright Chalcedony Yellow
rgb(181,203,43)	Dull Green-Yellow
rgb(145,191,41)	Apple Green
rgb(117,131,33)	Courge Green
rgb(76,99,23)	Biscay Green
rgb(79,113,33)	Light Bice Green
rgb(51,62,20)	Light Hellebore Green
rgb(54,72,20)	Light Elm Green
rgb(59,92,31)	Bice Green
rgb(22,31,6)	Hellebore Green
rgb(17,27,6)	Elm Green
rgb(21,43,5)	Forest Green
rgb(214,227,173)	Pale Veronese Green  
rgb(214,229,170) 	Pale Tiber Green
rgb(208,226,188)	Oural Green	
rgb(191,218,114)	Veronese Green	
rgb(184,220,133)	Tiber Green
rgb(162,208,130)	Light Paris Green
rgb(144,202,65)	Rivage Green	
rgb(78,172,84)	Light Oriental Green	
rgb(73,167,83)	Paris Green	
rgb(105,175,24)	Mineral Green	
rgb(53,150,52)	Oriental Green	
rgb(38,133,59)	Motmot Green
rgb(47,91,25)	Rinnemann's Green	
rgb(32,87,30)	Winter Green	
rgb(31,98,40)	Killarney Green	
rgb(22,48,10)	Civette Green	
rgb(19,56,13)	Hay's Green	
rgb(15,57,22)	Ackermann's Green
rgb(6,18,4)	Varley's Green	
rgb(8,23,7)	Dark Yellowish Green	
rgb(8,22,7)	Dark Green
rgb(198,224,198)	Dull Opaline Green
rgb(191,225,208)	Microline Green
rgb(187,221,212)	Pale Nile Blue
rgb(134,209,158)	Variscite Green	
rgb(140,214,193)	Pale Sulphate Green
rgb(117,202,190)	Nile Blue	place?
rgb(86,185,104)	Cobalt Green	substance
rgb(69,196,158)	Light Sulphate Green
rgb(62,187,177)	Beryl Green
rgb(20,107,51)	Verdigris Green	mixed etymologies?
rgb(16,125,85)	Sulphate Green	
rgb(17,108,106)	Methyl Green	
rgb(22,66,31)	Zinc Green	
rgb(16,60,33)	Dark Sulphate Green
rgb(10,67,61)	Sea Green
rgb(7,30,12)	Dark Zinc Green	
rgb(5,38,22)	Dark Cinnabar Green
rgb(11,50,40)	Prussian Green
rgb(4,11,4)	Bottle Green 	
rgb(3,7,6)	Duck Green 	
rgb(5,11,8)	Invisible Green 	so dark it's invisible?
rgb(179,199,190)	Etain Blue	
rgb(194,211,230)	Prusian Blue 
rgb(195,212,234)	Light Sky Blue 
rgb(132,191,185)	Lumiere Blue 
rgb(137,189,223)	Light Squill Blue 
rgb(136,183,227)	Sky Blue 
rgb(62,177,192)	Bremen Blue 
rgb(84,149,211)	Squill Blue 
rgb(102,146,218)	Yale Blue
rgb(17,106,134)	Motmot Blue 
rgb(33,92,184)	Mathews' Blue 
rgb(54,95,206)	Olympic Blue 
rgb(7,67,87)	Capri Blue 
rgb(23,72,134)	China Blue 
rgb(33,69,162)	Vanperpoel's Blue 
rgb(4,34,42)	Jouvence Blue 
rgb(7,38,94)	Chessylite Blue 
rgb(7,26,101)	Blanc's Blue 
rgb(2,6,9)	Dusky Green-Blue (1)
rgb(4,6,20)	Dark Chessylite Blue 
rgb(4,10,40)	Dusky Greenish Blue 
rgb(195,201,234)	Pale Grayish Blue	
rgb(192,197,242)	Wedgewood Blue 
rgb(195,192,240)	Light Lavender-Blue
rgb(148,169,228)	Pale Cadet Blue
rgb(161,164,237)	Deep Wedgewood Blue
rgb(157,154,235)	Lavender-Blue
rgb(105,127,221)	Light Cadet Blue 
rgb(110,118,228)	Flax-flower Blue	flower
rgb(130,121,228)	Deep Lavender-Blue	flower
rgb(56,77,198)	Clear Cadet Blue
rgb(51,51,208)	Commelina Blue
rgb(63,50,204)	Cornflower Blue	flower
rgb(30,43,148)	Cadet Blue	military?
rgb(29,29,159)	Diva Blue	
rgb(38,30,160)	Gentian Blue 
rgb(14,22,94)	Deep Cadet Blue	
rgb(13,14,106)	Dark Diva Blue	
rgb(17,13,97)	Sailor Blue	military?
rgb(6,9,46)	Dark Cadet Blue 
rgb(6,6,40)	Alizarine Blue
rgb(9,7,46)	Navy Blue	military?
rgb(191,201,210)	Pale King's Blue  
rgb(194,202,214)	Pale Neropalin Blue 	
rgb(192,199,213)	Pale Forget-me-not Blue	flower
rgb(147,174,197)	Light King's Blue 	
rgb(159,182,206)	Light Neropalin Blue 	
rgb(167,182,214)	Light Forget-me-not Blue	
rgb(75,126,192)	King's Blue	
rgb(87,121,192)	Neropalin Blue 	
rgb(114,139,198)	Forget-me-not Blue 	
rgb(45,79,176)	Venetian Blue 	
rgb(42,58,171)	Ultramarine Ash
rgb(51,61,176)	Dull Violaceous Blue 
rgb(25,45,107)	Jay Blue 
rgb(36,55,135)	Chapman's Blue 
rgb(37,44,124)	Grayish Violaceous Blue 
rgb(8,25,79)	Gendarme Blue	military
rgb(11,25,95)	Eton Blue	educational
rgb(14,19,78)	Deep Dull Violaceous Blue 
rgb(3,5,25)	Hortense Blue
rgb(4,5,25)	Dusky Blue 
rgb(9,10,16)	Indulin Blue
rgb(191,182,232)	Pallid Soft Blue-Violet
rgb(194,181,234)	Pale Wistaria Blue 	flower
rgb(199,185,235)	Pale Wistaria Violet 	flower
rgb(154,140,227)	Pale Soft Blue-Violet 	
rgb(162,140,230)	Light Wistaria Blue 	flower
rgb(175,145,231)	Light Wistaria Violet 	flower
rgb(107,90,220)	Light Soft Blue-Violet	flower
rgb(112,84,214)	Wistaria Blue 	flower
rgb(135,92,216)	Wistaria Violet 
rgb(51,32,164)	Soft Blue-Violet	flower
